jongmok_cd,jongmok_nm,deal_dt,buy_amount,sell_amount,forgn_amount,forgn_poss_rt,end_price,급등률,종가,거래량,외국인비율,_merge
071970,STX중공업,2021-05-06,46570469.0,46431945.0,-57987.0,0.0,10050.0,,,,,left_only
348350,위드텍,2021-05-11,141837.0,147817.0,7619.0,0.16,26850.0,,,,,left_only
059270,해성티피씨,2021-05-11,212061.0,224982.0,-5119.0,0.17,22400.0,,,,,left_only
351330,이삭엔지니어링,2021-05-11,498806.0,523742.0,-2919.0,0.19,18250.0,,,,,left_only
264660,씨앤지하이테크,2021-05-11,123083.0,89268.0,-152.0,0.29,13550.0,,,,,left_only
001525,동양우,2021-05-11,513204.0,482763.0,48527.0,0.3,11650.0,,,,,left_only
064850,에프앤가이드,2021-04-29,616661.0,654163.0,-3725.0,0.31,10500.0,,,,,left_only
111710,남화산업,2021-05-11,303952.0,252416.0,27969.0,0.36,10100.0,,,,,left_only
148150,세경하이테크,2021-05-11,161412.0,147090.0,-3866.0,0.55,21200.0,,,,,left_only
139670,키네마스터,2021-05-11,957548.0,903856.0,2756.0,0.68,44200.0,,,,,left_only
290740,액트로,2021-04-30,89678.0,114442.0,-16657.0,1.02,10050.0,,,,,left_only
166480,코아스템,2021-05-11,188051.0,176719.0,26904.0,1.1,16900.0,,,,,left_only
333620,엔시스,2021-05-11,787621.0,937705.0,176668.0,1.28,20300.0,,,,,left_only
004910,조광페인트,2021-05-11,8338714.0,8626056.0,108161.0,1.84,10250.0,,,,,left_only
251970,펌텍코리아,2021-05-11,293789.0,237230.0,34588.0,1.85,22850.0,,,,,left_only
222980,한국맥널티,2021-05-06,1575655.0,1608980.0,-98732.0,1.88,10200.0,,,,,left_only
124560,태웅로직스,2021-05-11,18235699.0,17873384.0,170169.0,1.99,10050.0,,,,,left_only
119830,아이텍,2021-05-07,712561.0,763229.0,-109711.0,2.26,10000.0,,,,,left_only
216080,제테마,2021-05-11,1215883.0,1194486.0,160501.0,2.29,39250.0,,,,,left_only
002150,도화엔지니어링,2021-05-11,1474232.0,1399858.0,21744.0,2.47,10100.0,,,,,left_only
000520,삼일제약,2021-04-29,556053.0,645598.0,-50255.0,2.49,10200.0,,,,,left_only
148250,알엔투테크놀로지,2021-05-11,109586.0,109193.0,-768.0,2.83,16150.0,,,,,left_only
047560,이스트소프트,2021-05-11,290935.0,238738.0,33466.0,3.14,10000.0,,,,,left_only
099320,쎄트렉아이,2021-05-03,292682.0,250602.0,90507.0,3.54,50000.0,,,,,left_only
003300,한일홀딩스,2021-05-11,175940.0,166006.0,27878.0,3.8,15200.0,,,,,left_only
041520,이라이콤,2021-05-11,134955.0,115874.0,34727.0,3.96,12300.0,,,,,left_only
036560,영풍정밀,2021-04-29,1864717.0,2004082.0,-39440.0,6.61,10100.0,,,,,left_only
003380,하림지주,2021-05-11,5587513.0,4981474.0,1295840.0,6.92,12800.0,,,,,left_only
068240,다원시스,2021-05-11,780309.0,801400.0,647575.0,7.21,19150.0,,,,,left_only
015230,대창단조,2021-05-07,1249725.0,1236722.0,11816.0,8.13,10250.0,,,,,left_only
00088K,한화3우B,2021-05-11,373138.0,296053.0,130946.0,9.95,16200.0,,,,,left_only
003490,대한항공,2021-05-11,18124005.0,14316789.0,1373820.0,11.0,30000.0,,,,,left_only
065350,신성델타테크,2021-05-11,1891453.0,1732726.0,126666.0,11.93,10500.0,,,,,left_only
180640,한진칼,2021-05-04,348370.0,428817.0,-142381.0,15.32,49900.0,,,,,left_only
001680,대상,2021-05-11,2019429.0,1629964.0,267657.0,16.3,29300.0,,,,,left_only
106190,하이텍팜,2021-05-11,87147.0,69076.0,2594.0,42.65,17100.0,,,,,left_only
,삼아알미늄,,,,,,,1372.18,15100.0,15479819.0,33.54,right_only
,KG동부제철,,,,,,,385.63,23450.0,4548780.0,0.22,right_only
,세아베스틸,,,,,,,366.18,34350.0,3731239.0,14.37,right_only
