종목명,종가,거래량,급등률,외국인비율,구분
대구백화점,11100,,,0.67,left_only
에이디칩스,1525,,,0.7,left_only
팬엔터테인먼트,6320,,,1.36,left_only
위지트,1590,,,1.46,left_only
애니젠,15350,,,1.83,left_only
에이티넘인베스트,6140,,,2.32,left_only
와이엔텍,16400,,,2.43,left_only
SK증권,1010,,,5.09,left_only
아세아텍,3735,,,5.09,left_only
디와이피엔에프,27400,,,5.38,left_only
싸이맥스,23150,,,5.85,left_only
아이센스,26350,,,36.5,left_only
NICE평가정보,22850,,,39.75,left_only
푸른저축은행,20100,7454876.0,5929.89,0.94,right_only
에너토크,14600,8327381.0,1283.62,18.68,right_only
캐리소프트,19400,2134285.0,353.89,0.29,right_only
